,Cyprus
1975,489914760.682807
1976,576090073.715036
1977,734887973.975806
1978,964026512.197839
1979,1288715209.58084
1980,2154311276.94859
1981,2087496373.77964
1982,2159242416.76942
1983,2160364071.19021
1984,2278248953.14058
1985,2430411900.19194
1986,3090734463.27684
1987,3704813885.50548
1988,4278792597.23965
1989,4563482603.5503
1990,5591130217.66965
1991,5770197348.48485
1992,6912150456.32334
1993,6590291048.29211
1994,7425703928.57143
1995,9933133247.08926
1996,10011918444.1656
1997,9547818700.11403
1998,10248617647.0588
1999,10497908306.3646
2000,9985844486.33365
2001,10397897085.6102
2002,11420227884.6154
2003,14547325028.3126
2004,17320552500.0
2005,18433411267.2553
2006,20072786350.5206
2007,23968764029.5647
2008,27844698989.3072
2009,25945391775.4932
2010,25732432719.0773
2011,27565469097.9955
2012,24978513426.6992
2013,23900872625.8467
2014,23156850006.6427
2015,19842404304.8929
2016,20953442550.3653
2017,22870833709.8961
2018,25522671232.8767
2019,25758357774.5438
2020,24692095945.1742
2021,27719337670.0177
