,Denmark
1966,11931739858.7046
1967,13059064374.6287
1968,13505573866.6667
1969,15414902266.6667
1970,17075457600.0
1971,19085731252.4407
1972,23232379951.9376
1973,30730626663.3606
1974,34160444798.1099
1975,40474406216.2821
1976,44575892473.1183
1977,49784338519.4563
1978,60362931853.6249
1979,70366241969.2074
1980,71127528699.9414
1981,61877813965.2413
1982,60412844678.604
1983,60644782176.0525
1984,59105236853.7937
1985,62658568287.3429
1986,88078760103.8191
1987,109414423928.775
1988,115552846616.653
1989,112409222182.704
1990,138247285815.855
1991,139224688814.195
1992,152915654478.885
1993,143195627014.605
1994,156162386724.523
1995,185006881515.065
1996,187632346387.984
1997,173537647058.824
1998,176991934992.837
1999,177965188354.692
2000,164158739097.623
2001,164791442543.375
2002,178635163717.431
2003,218096033517.009
2004,251373002954.382
2005,264467336457.17
2006,282884947702.966
2007,319423424509.066
2008,353361038818.383
2009,321241303699.006
2010,321995279401.502
2011,344003137611.271
2012,327148943812.137
2013,343584391647.927
2014,352993631617.708
2015,302673070846.857
2016,313115929314.339
2017,332121063806.391
2018,356841216410.068
2019,347561349210.979
2020,356084867685.639
2021,397104343478.301
