,Djibouti
1985,340989527.967995
1987,373371738.286415
1988,395794538.630775
1989,409220087.102818
1990,452328087.282876
1991,462421998.525779
1992,478058304.871118
1993,466048469.22986
1994,491689220.744875
1995,497723960.589913
1996,494004647.73437
1997,502675542.001227
1998,514267869.300758
1999,536080148.097299
2000,551230861.856505
2001,572417440.820162
2002,591122039.601398
2003,622044665.515049
2004,666072101.777505
2005,708633194.726566
2006,768873684.032838
2007,847918929.107984
2008,999105339.267729
2009,1049110684.72493
2010,1128611700.3618
2011,1239144501.77525
2012,1353632941.5207
2013,2042817162.85639
2014,2214679081.25658
2015,2424391785.43897
2016,2604955228.70117
2017,2762581334.22612
2018,2913466732.12507
2019,3088853638.56832
2020,3181071153.6622
2021,3371102123.51343
