,Dominica
1977,45872947.4074074
1978,57130215.5555556
1979,55017758.8888889
1980,72804653.3333333
1981,82107391.1111111
1982,89527576.6666667
1983,98665191.4814815
1984,109157070.740741
1985,119491932.962963
1986,135161958.518519
1987,151868754.444444
1988,171106184.074074
1989,185137242.962963
1990,201429629.62963
1991,219762962.962963
1992,234059259.259259
1993,245525925.925926
1994,264374074.074074
1995,274522222.222222
1996,292285185.185185
1997,302988888.888889
1998,322411111.111111
1999,331759259.259259
2000,333470370.37037
2001,340203703.703704
2002,333196296.296296
2003,343311111.111111
2004,367200000.0
2005,364255555.555556
2006,390251851.851852
2007,421374074.074074
2008,458188888.888889
2009,489074074.074074
2010,493825925.925926
2011,501025925.925926
2012,485996296.296296
2013,498296296.296296
2014,520207407.407407
2015,540737037.037037
2016,576229629.62963
2017,521551851.851852
2018,554770370.37037
2019,611537037.037037
2020,504214814.814815
2021,545618518.518518
