,Dominican Republic
1960,672399700.0
1961,654100200.0
1962,824100000.0
1963,940799900.0
1964,1025599900.0
1965,888100000.0
1966,983900000.0
1967,1034800000.0
1968,1079100000.0
1969,1230500000.0
1970,1485500000.0
1971,1666500000.0
1972,1987400000.0
1973,2344800000.0
1974,2925700000.0
1975,3599200000.0
1976,3951500000.0
1977,4587100000.0
1978,4734400000.0
1979,5498800000.0
1980,6761300000.0
1981,7561300000.0
1982,8267400000.0
1983,9220600000.0
1984,11594000000.0
1985,5044592944.80499
1986,6122198120.02892
1987,5826987099.45901
1988,5374314928.42536
1989,6686593059.93691
1990,7073675544.79021
1991,9824498183.03263
1992,11605382504.0
1993,13081042400.0
1994,14644711384.8202
1995,16637370839.1608
1996,18241691857.3544
1997,20017480054.834
1998,21672231760.6491
1999,22136621337.0889
2000,24305717541.6371
2001,25601765400.5153
2002,27137508656.8522
2003,21403167848.1444
2004,22322395368.0274
2005,35777570135.5225
2006,37879869897.8979
2007,43965420072.4107
2008,48122547177.1881
2009,48261033298.2133
2010,53860175555.9961
2011,58029750745.6495
2012,60681537195.7996
2013,62682163837.347
2014,67179914026.9623
2015,71164825256.6849
2016,75704720189.5607
2017,79997975621.8654
2018,85555378042.8196
2019,88941299733.5018
2020,78844702329.0785
2021,94243453937.4462
