,East Asia & Pacific (IDA & IBRD countries)
1960,81224996965.3876
1961,71507027134.2315
1962,65298534066.4532
1963,70737725343.0714
1964,81640219696.8561
1965,95037884909.6917
1966,103921409358.337
1967,100855343519.819
1968,102125628064.456
1969,114623698605.937
1970,127296130550.976
1971,136859199744.418
1972,155212812323.978
1973,195291127223.021
1974,220922436854.847
1975,248292433565.573
1976,252312897017.876
1977,291214471739.223
1978,282398919556.681
1979,327143278819.263
1980,377558188252.34
1981,403044498116.741
1982,423156399207.654
1983,443282681081.444
1984,480299735507.522
1985,525668466306.941
1986,524371929975.769
1987,518288660147.056
1988,574762804368.616
1989,621593644756.299
1990,666363108522.434
1991,722756596778.817
1992,810051632226.542
1993,889186156379.703
1994,1069988808793.94
1995,1320147921624.48
1996,1516192934201.93
1997,1569692108616.04
1998,1429636834948.45
1999,1573329998422.85
2000,1732073445706.97
2001,1844705099622.4
2002,2041292454041.63
2003,2308351052421.13
2004,2678502299804.01
2005,3102531017161.82
2006,3735582532669.01
2007,4721401758704.25
2008,5970862554071.44
2009,6475820893277.57
2010,7879005465198.85
2011,9632901411407.71
2012,10745117187521.7
2013,11855675717376.6
2014,12782189477274.2
2015,13310241615014.3
2016,13594771778031.6
2017,14858085911410.5
2018,16617566546821.7
2019,17181787022158.2
2020,17461284721761.5
2021,20719819524210.8
