,East Asia & Pacific (excluding high income)
1960,81346966779.2948
1961,71614404162.4674
1962,65396588241.2276
1963,70843947165.4002
1964,81762813021.2733
1965,95180596557.2096
1966,104077460764.11
1967,101006790832.103
1968,102278982872.896
1969,114795820879.998
1970,127487282116.805
1971,137064711492.623
1972,155445884389.751
1973,195584382050.168
1974,221254180400.773
1975,248665276693.28
1976,252691777390.242
1977,291651767845.743
1978,282822977974.074
1979,327634526665.73
1980,378125140590.669
1981,403649721437.987
1982,423791823143.551
1983,443948327226.594
1984,481020967536.432
1985,526457825339.354
1986,525159342091.581
1987,519066937448.258
1988,575625884884.575
1989,622527047821.973
1990,667363738714.833
1991,723841909070.635
1992,811268029278.303
1993,890521384130.697
1994,1071595535057.62
1995,1322130294075.65
1996,1518469693536.39
1997,1572049203864.21
1998,1431783619131.0
1999,1575692556431.98
2000,1734674377485.85
2001,1847475162363.19
2002,2044357718061.96
2003,2311762286264.07
2004,2682361386115.79
2005,3106911336847.71
2006,3740747469659.88
2007,4727824486545.68
2008,5978889775899.91
2009,6484594706166.73
2010,7889431821546.02
2011,9645510084735.44
2012,10759162578319.6
2013,11871112996760.2
2014,12798789791348.7
2015,13327553631228.2
2016,13612426104052.7
2017,14877258915652.8
2018,16638962757093.7
2019,17203906511529.0
2020,17483820589534.5
2021,20746563721663.3
