,East Asia & Pacific
1960,154608964939.107
1961,155145333350.026
1962,158361376318.574
1963,176700641541.943
1964,202680341549.209
1965,225584335410.774
1966,252065874325.836
1967,273138630805.906
1968,301156064856.063
1969,346805505111.574
1970,408832441241.742
1971,453655577707.971
1972,562922786206.716
1973,741777465480.052
1974,854578155353.932
1975,935690533158.142
1976,1028713376214.01
1977,1225819965512.74
1978,1546573685630.47
1979,1679751368744.1
1980,1815745218763.47
1981,2001655694154.09
1982,1962113753009.43
1983,2087671345504.26
1984,2235731938965.27
1985,2359133560058.04
1986,3082071895098.54
1987,3618921911898.81
1988,4354053290558.85
1989,4535233866216.99
1990,4737130016893.33
1991,5348103890474.05
1992,5843647343374.35
1993,6534962605493.74
1994,7402443037258.46
1995,8405469747926.35
1996,8099316079810.25
1997,7742870721108.72
1998,6928206332716.94
1999,7738647440841.3
2000,8373137090556.2
2001,7787012237035.4
2002,7909583298610.3
2003,8696262832648.24
2004,9753487857759.56
2005,10406039573311.5
2006,11028030727726.8
2007,12321793798291.4
2008,14206496316345.2
2009,14619345445750.3
2010,17063328745170.4
2011,19788700724983.6
2012,21171235550388.5
2013,21409820574994.3
2014,22085315696268.9
2015,21997093126150.3
2016,22772145277753.9
2017,24325231732305.3
2018,26481019943236.6
2019,27024079763932.2
2020,27118722832657.5
2021,30880832035117.6
