,Ecuador
1960,2069465326.42335
1961,1753850416.75551
1962,1518208221.23969
1963,1824344492.08344
1964,2244146867.90615
1965,2387048255.45173
1966,2429309513.80854
1967,2553596091.82258
1968,2582180794.1855
1969,3112166848.3004
1970,2862504169.99893
1971,2754220263.02528
1972,3185987234.84089
1973,3891755551.94138
1974,6599259420.99605
1975,7731677256.80982
1976,9091924304.83477
1977,11026346589.5011
1978,11922502170.6405
1979,14175166007.5774
1980,17881514682.8784
1981,21810767209.3695
1982,19929853574.6095
1983,17152483214.3536
1984,16912515183.2783
1985,17149094589.9827
1986,15314143988.0621
1987,13945431882.2271
1988,13051886552.3377
1989,13890828707.6493
1990,15239278100.3502
1991,16988535267.6338
1992,18094238119.0595
1993,18938717358.6793
1994,22708673336.6683
1995,24432884442.2211
1996,25226393196.5983
1997,28162053026.5133
1998,27981896948.4742
1999,19645272636.3182
2000,18327764882.4412
2001,24468324000.0
2002,28548945000.0
2003,32432858000.0
2004,36591661000.0
2005,41507085000.0
2006,46802044000.0
2007,51007777000.0
2008,61762635000.0
2009,62519686000.0
2010,69555367000.0
2011,79276664000.0
2012,87924544000.0
2013,95129659000.0
2014,101726331000.0
2015,99290381000.0
2016,99937696000.0
2017,104295862000.0
2018,107562008000.0
2019,108108009000.0
2020,99291124000.0
2021,106165866000.0
