,Estonia
1995,4502970889.06373
1996,4786018988.16491
1997,5154420649.23354
1998,5674080542.88575
1999,5756912265.75809
2000,5686579747.53524
2001,6254649538.98487
2002,7367975887.72723
2003,9874013098.46432
2004,12145911801.2422
2005,14106790200.2239
2006,17022870405.2189
2007,22449129482.617
2008,24341678628.9732
2009,19633031397.6104
2010,19523477325.6235
2011,23213994093.4631
2012,23019150071.1867
2013,25115753366.1114
2014,26634083965.0987
2015,22890762090.1508
2016,24072829276.7744
2017,26924385103.0659
2018,30489500904.8564
2019,31045591753.4901
2020,30650285471.7215
2021,36262924353.6041
