,Eswatini
1960,35076158.4768305
1961,43025199.4960101
1962,45927061.4587708
1963,54128377.4324513
1964,64979280.4143917
1965,70278594.4281114
1966,76858462.8307434
1967,74758504.8299034
1968,79798404.0319194
1969,105417891.642167
1970,112137757.244855
1971,136465324.384787
1972,146741251.46351
1973,221902017.291066
1974,264311994.113319
1975,288302907.369844
1976,272539098.436063
1977,304047838.086477
1978,340616375.344986
1979,412093133.760988
1980,542000513.610683
1981,570761166.818596
1982,537575980.843618
1983,555336145.767884
1984,494475699.857656
1985,360075380.266523
1986,449146608.315098
1987,584135559.921414
1988,692016714.317132
1989,696915430.663057
1990,1114703088.1614
1991,1156141998.33412
1992,1284766234.2216
1993,1357206995.74624
1994,1419293454.99606
1995,1698982437.76019
1996,1602760100.48147
1997,1716699913.19444
1998,1576904292.4588
1999,1547884442.26205
2000,1738100853.05052
2001,1542477308.89408
2002,1432228125.26682
2003,2197612701.09852
2004,2770082791.50412
2005,3178126491.90949
2006,3291353835.93
2007,3469363996.36642
2008,3294093485.20796
2009,3580417066.92472
2010,4438778424.30203
2011,4820499924.2539
2012,4886533032.88672
2013,4597532029.70451
2014,4422968339.67584
2015,4063245671.29285
2016,3816022046.82656
2017,4402969225.92165
2018,4666784617.59585
2019,4466066557.37957
2020,3984840580.40634
2021,4941373182.08261
