,Europe & Central Asia (IDA & IBRD countries)
1988,988740229718.671
1989,959919683090.889
1990,1020121053379.52
1991,1006718393216.26
1992,939237204428.346
1993,928208841144.391
1994,834777859540.288
1995,924105386370.815
1996,950558397787.642
1997,980366749591.702
1998,947759605016.376
1999,821571732032.263
2000,894261368128.015
2001,909748964075.783
2002,1023022746681.39
2003,1257924182636.31
2004,1628132630098.95
2005,2040036527862.49
2006,2467590122726.51
2007,3173623845433.37
2008,3929049124611.7
2009,3114717816237.78
2010,3659632213003.88
2011,4444804654263.14
2012,4641048400380.36
2013,4920929704588.63
2014,4646599423005.3
2015,3627108376792.4
2016,3490785599724.82
2017,3912611705923.38
2018,4073647272410.63
2019,4159113945157.09
2020,3884826500881.03
2021,4525639233067.13
