,Europe & Central Asia
1966,739424183997.106
1967,796313419467.256
1968,832994162706.443
1969,921346210842.913
1970,1019169571078.6
1971,1149413891143.26
1972,1377140017500.43
1973,1749171686571.78
1974,1976691485172.53
1975,2309262098975.38
1976,2400125275417.02
1977,2720266987850.12
1978,3320003493983.55
1979,4061402569918.03
1980,4600310631118.57
1981,4094326140569.38
1982,3945580584994.18
1983,3827638388712.5
1984,3678883988218.08
1985,3807116150319.95
1986,5196400831596.9
1987,6421136044387.53
1988,7147514395013.96
1989,7242831612556.37
1990,8860886770157.09
1991,9141573886174.29
1992,9801290856261.89
1993,9002867476236.01
1994,9413178013838.71
1995,10871934351635.8
1996,11096330164781.8
1997,10521055309836.1
1998,10794673797081.0
1999,10674805143025.6
2000,10062644063691.1
2001,10163007675953.9
2002,11133529792287.0
2003,13537478320357.3
2004,15776874044619.2
2005,16784487175829.8
2006,18178450119096.0
2007,21245717787580.1
2008,23375404048532.6
2009,20561162266597.6
2010,21025776092026.9
2011,23314072718003.9
2012,22462345376234.4
2013,23481224437521.6
2014,23811885452932.2
2015,20513326700882.6
2016,20453731054147.2
2017,21680175761930.6
2018,23224055731756.6
2019,22941556433612.1
2020,22133908631128.1
2021,25046912741672.4
