,European Union
1970,725931117202.681
1971,820813003647.737
1972,990428711523.757
1973,1282020509407.61
1974,1451750057862.35
1975,1690875090425.37
1976,1770054233927.2
1977,2004900497340.86
1978,2442696478420.52
1979,2952838432090.34
1980,3303181850263.89
1981,2879984188262.2
1982,2777376665977.44
1983,2702069500746.21
1984,2603395491959.08
1985,2677660947369.09
1986,3744041974466.61
1987,4631250656846.37
1988,5084288198655.59
1989,5193668896729.2
1990,6498471911158.62
1991,6736015994578.52
1992,7406290275006.52
1993,6761114918561.71
1994,7161872216278.51
1995,8296026012678.74
1996,8431518032299.25
1997,7733761443399.13
1998,7969786047468.6
1999,7925751140105.29
2000,7276100425846.39
2001,7393822815819.07
2002,8083838310847.3
2003,9931880091381.26
2004,11419026235917.2
2005,11910846593666.3
2006,12713924308247.0
2007,14728760786208.9
2008,16297628240370.6
2009,14763782458925.1
2010,14557639624574.1
2011,15759494356498.2
2012,14636200267663.1
2013,15299732275660.3
2014,15652098620138.5
2015,13551929359932.8
2016,13893207820569.6
2017,14766273067392.1
2018,15978719985091.5
2019,15691850452107.3
2020,15300141971364.8
2021,17088620744318.8
