,Gabon
1960,141468978.376811
1961,167637908.489803
1962,182796536.497306
1963,154480244.244369
1964,215679855.271673
1965,226474285.58499
1966,245849781.713541
1967,271543680.280699
1968,294468564.530742
1969,318124701.050461
1970,323802475.477281
1971,381687073.052087
1972,430508357.728441
1973,722780701.133715
1974,1544216003.97013
1975,2157592936.61939
1976,3009409970.8681
1977,2809349074.13823
1978,2389479269.23068
1979,3030251116.39385
1980,4279637933.94656
1981,3862269126.93107
1982,3618007844.43807
1983,3391275731.35952
1984,3561451562.21946
1985,3339914759.38464
1986,3403638193.62328
1987,3281797038.68204
1988,3834503378.34725
1989,4186411457.42938
1990,5952293765.94088
1991,5402919956.93831
1992,5592390848.52647
1993,4378645081.01769
1994,4190819314.02958
1995,4958845906.34769
1996,5694040336.82571
1997,5326816858.99586
1998,4483417119.83928
1999,4662992036.2073
2000,5080483463.99928
2001,5023265365.25169
2002,5335451307.54323
2003,6511903657.44009
2004,7770219479.72648
2005,9582783318.3881
2006,10327598800.6713
2007,12455410055.7483
2008,15571349775.7848
2009,12113699660.6799
2010,14372591916.4792
2011,18210308748.2912
2012,17170465294.0332
2013,17595745653.3676
2014,18203968001.8908
2015,14383107714.0388
2016,14023890620.3384
2017,14929488770.7315
2018,16867325126.5423
2019,16874405839.7948
2020,15316824039.3269
2021,18269350433.7992
