,Georgia
1990,7753501867.76095
1991,6357615894.03974
1992,3690328963.64086
1993,2701181331.30816
1994,2514070771.80273
1995,2693768412.89179
1996,3095047603.8083
1997,3510520231.21387
1998,3613541516.765
1999,2800049394.91232
2000,3057475335.18846
2001,3219488663.77231
2002,3395728013.84524
2003,3991284895.37214
2004,5125365191.98664
2005,6410823633.25426
2006,7745394293.41721
2007,10172882370.5477
2008,12795076469.0099
2009,10766836276.5639
2010,12243505582.6741
2011,15107441446.7833
2012,16488403076.3641
2013,17189551520.9811
2014,17627003454.7205
2015,14953950557.4406
2016,15141758566.7808
2017,16242916915.7203
2018,17596922469.9152
2019,17470436258.5131
2020,15842922532.7202
2021,18700241392.1575
