,Germany
1970,215838448137.658
1971,249985055484.303
1972,299801542047.476
1973,398374021953.897
1974,445303484241.554
1975,490636517211.225
1976,519754453161.411
1977,600498238019.035
1978,740469983446.933
1979,881345176608.686
1980,950290856466.538
1981,800472055387.278
1982,776576439106.956
1983,770684323247.798
1984,725111123634.115
1985,732534887058.198
1986,1046259374943.71
1987,1298176105549.51
1988,1401233225303.49
1989,1398967436804.33
1990,1771671206875.68
1991,1868945197407.19
1992,2131571696931.75
1993,2071323790370.28
1994,2205074123177.05
1995,2585792275146.72
1996,2497244606186.64
1997,2211989623279.95
1998,2238990774702.68
1999,2194945278872.59
2000,1947981991011.77
2001,1945790973803.15
2002,2078484517474.51
2003,2501640388482.35
2004,2814353869359.08
2005,2846864211175.1
2006,2994703642023.53
2007,3425578382921.58
2008,3745264093617.19
2009,3411261212652.34
2010,3399667820000.01
2011,3749314991050.59
2012,3527143188785.16
2013,3733804649549.03
2014,3889093051023.52
2015,3357585719351.56
2016,3469853463945.53
2017,3690849152517.65
2018,3977289455388.23
2019,3888326788627.44
2020,3846413928653.71
2021,4223116205968.92
