,Ghana
1960,1217086834.73389
1961,1302521008.40336
1962,1382352941.17647
1963,1540616246.4986
1964,1731092436.97479
1965,2053221288.51541
1966,2126050420.16807
1967,1746806039.48897
1968,1666910166.289
1969,1962051319.26134
1970,2215029450.3805
1971,2417107708.25317
1972,2112292944.64142
1973,2465492957.74648
1974,2894409937.8882
1975,2810106382.97872
1976,2765254237.28814
1977,3189428571.42857
1978,3662478184.99127
1979,4020227920.22792
1980,4445228215.76763
1981,4222441614.97432
1982,4035994397.7591
1983,4057275042.82903
1984,4412279843.44423
1985,4504342149.43471
1986,5727602644.71472
1987,5074829931.97279
1988,5197840979.13416
1989,5251764264.26802
1990,5889174825.487
1991,6596546195.65217
1992,6413901601.83066
1993,5966255778.12018
1994,5444560669.45607
1995,6465137614.6789
1996,6934984709.48012
1997,6891308593.75
1998,7480968858.13149
1999,7719354838.70968
2000,4983024408.14828
2001,5314909953.92992
2002,6166330136.2948
2003,7632406552.83803
2004,8881368538.07671
2005,10744675209.8984
2006,20440893017.1566
2007,24827844949.6033
2008,28678701891.0957
2009,26048108185.0534
2010,32197272797.2028
2011,39337314809.9434
2012,41270954737.2459
2013,62823043706.4702
2014,54782847752.5375
2015,49406568432.6711
2016,56165172898.8695
2017,60406382898.5174
2018,67299280679.563
2019,68337537815.7703
2020,70043199813.6885
2021,77594279054.8795
