,Greece
1960,4335186016.83942
1961,4961400439.31722
1962,5213047711.42704
1963,5895278024.09202
1964,6669673257.1183
1965,7689154053.35866
1966,8591517943.60129
1967,9275600800.35644
1968,10090675902.5364
1969,11615657031.2387
1970,13139863636.3636
1971,14591750000.0
1972,16885511363.6364
1973,22347848101.2658
1974,25351306818.1818
1975,28525876726.8863
1976,31152835820.8955
1977,36176234967.6226
1978,44270204081.6327
1979,54481876724.931
1980,56829664268.5851
1981,52346506765.0676
1982,54617989795.9184
1983,49428873839.0093
1984,48020024183.7969
1985,47820851221.3175
1986,56379593476.1441
1987,65652750377.4535
1988,76261277924.5736
1989,79169043222.8284
1990,97891092003.4394
1991,105143232379.884
1992,116224672863.783
1993,108809059155.767
1994,116601801966.292
1995,136878365936.167
1996,145861612400.906
1997,143157600149.757
1998,144428172489.335
1999,142588875293.749
2000,130457756628.436
2001,136309295225.34
2002,154564203586.954
2003,202370140236.265
2004,240963562236.127
2005,247875422204.414
2006,273546728473.073
2007,318902829550.733
2008,355908689477.445
2009,331308500253.274
2010,297124961971.501
2011,282995942006.557
2012,242029307133.408
2013,238907690051.13
2014,235458133124.608
2015,195683527003.375
2016,193148146586.933
2017,199844406013.531
2018,212049447242.111
2019,205144152830.847
2020,188835201625.91
2021,216240589485.256
