,Greenland
1970,69520026.6666667
1971,88570952.8688525
1972,106101175.65798
1973,140153748.243656
1974,169918948.629182
1975,211194305.702999
1976,240780413.56493
1977,282269373.001066
1978,355989047.256374
1979,420642463.409998
1980,476055288.418886
1981,435746974.759244
1982,402405069.367769
1983,416183706.943685
1984,379371608.442925
1985,412876071.118493
1986,603015696.452849
1987,787392365.831908
1988,898611007.947709
1989,929796722.387896
1990,1018970364.86443
1991,1016493394.8253
1992,1037921836.9477
1993,927219728.866886
1994,1005879948.43254
1995,1208946165.92889
1996,1197509786.67632
1997,1072147778.03013
1998,1149862702.96084
1999,1131561595.13775
2000,1068030829.75591
2001,1086172922.57413
2002,1169138789.31435
2003,1558753434.43083
2004,1822486688.58807
2005,1849805732.96203
2006,2013099482.07439
2007,2249811708.94796
2008,2499107510.64122
2009,2529948329.57153
2010,2503156060.52524
2011,2684467375.71479
2012,2609667673.71601
2013,2684952726.88425
2014,2842048997.77283
2015,2499115623.00272
2016,2707146783.13056
2017,2851610655.92391
2018,3055791340.7025
2019,2994332323.74726
2020,3075968328.69677
