,Guatemala
1960,1043599900.0
1961,1076699900.0
1962,1143600000.0
1963,1262800000.0
1964,1299099900.0
1965,1331399900.0
1966,1390700000.0
1967,1453500000.0
1968,1610500000.0
1969,1715399900.0
1970,1904000000.0
1971,1984800000.0
1972,2101300000.0
1973,2569200100.0
1974,3161499900.0
1975,3645900000.0
1976,4365300200.0
1977,5480500200.0
1978,6070600200.0
1979,6902600200.0
1980,7878700000.0
1981,8607500300.0
1982,8716999700.0
1983,9050000400.0
1984,9470000100.0
1985,9721652086.95652
1986,7231963515.98174
1987,7084399840.0
1988,7841602824.42748
1989,8410724360.79545
1990,7650125217.35253
1991,9406097735.09117
1992,10440842165.3193
1993,11399942453.0646
1994,12983235568.2292
1995,14655404433.2771
1996,15674835615.3139
1997,17790026221.6139
1998,19395491992.9939
1999,18318412251.3642
2000,19288827158.9035
2001,18405203853.1036
2002,20444205991.025
2003,21576351798.9145
2004,23577286226.6407
2005,26783543667.064
2006,29744368110.9094
2007,33567868322.6252
2008,38503862830.6878
2009,37125943564.9873
2010,40676432028.5934
2011,46876114650.4996
2012,49593961141.7484
2013,52996540703.5943
2014,57852399963.7878
2015,62186186575.7433
2016,66053725049.0138
2017,71654134378.5299
2018,73208583758.9105
2019,77020015201.3201
2020,77604632620.6473
2021,85986321551.2388
