,High income
1960,1069224286225.67
1961,1131820800485.88
1962,1221770864128.5
1963,1316147609027.84
1964,1436599732483.84
1965,1560087191224.76
1966,1711422184660.74
1967,1836211863666.78
1968,1991235599219.92
1969,2190768574307.91
1970,2393471564327.67
1971,2657178687211.82
1972,3082275756117.02
1973,3729426056832.35
1974,4204936667939.7
1975,4691983007047.77
1976,5112771154293.38
1977,5789925390521.96
1978,6937879796564.73
1979,8021655305456.59
1980,8959658940605.22
1981,9095619219977.51
1982,9011122899672.55
1983,9304064983431.59
1984,9705228105477.89
1985,10190505047643.8
1986,12373419899037.5
1987,14340678432733.9
1988,16145940441487.5
1989,16894417210257.8
1990,18979337151826.9
1991,20070643101597.3
1992,21588557317920.7
1993,21755213444014.7
1994,23418814469781.6
1995,26009088614424.9
1996,26232597312320.5
1997,25783724902445.4
1998,25881163614871.4
1999,27185833341208.6
2000,27754366209042.3
2001,27478716759912.5
2002,28653570606236.0
2003,32118969996965.6
2004,35763809661306.7
2005,37825498840235.5
2006,39962304329650.4
2007,43760927781949.9
2008,46623202312258.0
2009,43669720512307.4
2010,45752167133310.7
2011,49400951947041.4
2012,49426119717934.1
2013,50047896627312.4
2014,51126000506570.3
2015,48258374724904.4
2016,49298560658248.9
2017,51558534599568.8
2018,54815581180361.5
2019,55289237589071.7
2020,53699833079337.6
2021,59445422597098.5
