,Hungary
1991,34753569692.915
1992,38730585922.2189
1993,40124916940.5945
1994,43166678735.2183
1995,46425677734.1435
1996,46658755151.6017
1997,47296952928.7561
1998,48706787306.2574
1999,49073380173.7159
2000,47218405892.4258
2001,53749989092.0197
2002,67608919144.3684
2003,85302003908.042
2004,104141042625.791
2005,113236711635.539
2006,115751266695.185
2007,140227560615.121
2008,158374419641.016
2009,131114229049.178
2010,132231134158.608
2011,141999960209.893
2012,128857370476.631
2013,135732595721.853
2014,141078984816.675
2015,125210324613.14
2016,128636108315.474
2017,143136245596.988
2018,160586833778.457
2019,163526491433.29
2020,156743134665.959
2021,182280517581.212
