,IDA only
1960,25623664425.8411
1961,26855051989.6751
1962,29060744250.1593
1963,33687637210.1439
1964,30979451540.8342
1965,35515012763.0278
1966,38487064043.0196
1967,38848376073.9882
1968,40911444169.8852
1969,45456705997.2275
1970,47279117145.4289
1971,50051048301.7667
1972,49711809813.1986
1973,60157871525.2342
1974,77618311477.4226
1975,95518893890.6707
1976,88504525873.294
1977,99705712878.0398
1978,117041661688.183
1979,131139507585.103
1980,146006430672.133
1981,148620517313.754
1982,147203983577.215
1983,142908535534.195
1984,144448091153.834
1985,150364127094.085
1986,169191042721.638
1987,190094472993.203
1988,182608140565.474
1989,192067115873.169
1990,223490133284.73
1991,240467772319.574
1992,203183108223.914
1993,208768142287.907
1994,206159754179.522
1995,235458592142.886
1996,268490801386.774
1997,282809443531.051
1998,294704912375.567
1999,301717078192.502
2000,329980830726.645
2001,333500609787.24
2002,351326395131.929
2003,388051477797.573
2004,446191733897.562
2005,513236756724.886
2006,589852073854.54
2007,698506008874.554
2008,837527262441.621
2009,863599240763.952
2010,972926010657.937
2011,891297497683.72
2012,891921151320.254
2013,968109544007.918
2014,1034001931684.93
2015,1039584636867.06
2016,1120264997190.93
2017,1233217424204.7
2018,1228944982675.59
2019,1297337886387.31
2020,1333641390974.43
2021,1455496866167.88
