,IDA total
1960,36900947649.9065
1961,38965513998.0786
1962,41990402227.6439
1963,47190401379.0173
1964,46072882466.0251
1965,51787666939.7592
1966,56196736130.4314
1967,56638998162.6866
1968,59696266506.1469
1969,67025857066.506
1970,77817929947.4051
1971,78060477954.4983
1972,81532389684.4283
1973,93698102112.092
1974,126487047402.249
1975,151353743184.027
1976,157509229049.122
1977,172067545637.721
1978,195177876819.872
1979,227822907134.291
1980,271386577142.068
1981,397994583714.972
1982,374660774929.774
1983,314250205341.043
1984,290605822503.647
1985,297015415883.332
1986,300298574760.475
1987,323774231052.482
1988,320180132011.62
1989,324476417867.295
1990,369391560079.66
1991,386503598805.854
1992,350830948360.956
1993,340905745966.637
1994,338953288163.237
1995,391229646197.571
1996,440252367168.156
1997,458022685893.836
1998,467398833503.701
1999,482203775265.536
2000,535746560559.207
2001,538879149885.077
2002,578582720263.579
2003,643672322376.263
2004,757616353956.281
2005,885842595608.502
2006,1056715380018.5
2007,1236671998523.59
2008,1476907110409.79
2009,1469798613985.49
2010,1682183372034.35
2011,1705350329121.23
2012,1792472954653.82
2013,1946118978741.11
2014,2083297910580.38
2015,2051054023531.05
2016,2097401216013.6
2017,2193037942018.33
2018,2236771221490.87
2019,2337492148245.3
2020,2332329928471.15
2021,2544817395142.83
