,Indonesia
1967,5667756644.9716
1968,7076465295.27356
1969,8337423312.88344
1970,9150684931.50685
1971,9333536359.74431
1972,10997590361.4458
1973,16273253012.0482
1974,25802409638.5542
1975,30463855421.6867
1976,37269156626.506
1977,45808915662.6506
1978,51455719100.27
1979,51400186379.1873
1980,72482337370.8551
1981,85518233450.1818
1982,90158449307.26
1983,81052283404.2179
1984,84853699994.5677
1985,85289491746.8428
1986,79954072569.4637
1987,75929617576.2282
1988,84300174475.7955
1989,94451427898.007
1990,106140727356.675
1991,116621996217.133
1992,128026966579.964
1993,158006700301.533
1994,176892143931.505
1995,202132028723.115
1996,227369679374.973
1997,215748998609.635
1998,95445547872.715
1999,140001351215.462
2000,165021012077.81
2001,160446947784.909
2002,195660611165.183
2003,234772463823.808
2004,256836875295.452
2005,285868618224.017
2006,364570514304.85
2007,432216737774.861
2008,510228634992.258
2009,539580085612.401
2010,755094160363.071
2011,892969107923.094
2012,917869910105.749
2013,912524136718.018
2014,890814755233.225
2015,860854235065.079
2016,931877364177.742
2017,1015618742565.81
2018,1042271531011.99
2019,1119099868265.25
2020,1058688935454.78
2021,1186092991320.04
