,"Iran, Islamic Rep."
1960,4199134389.9037
1961,4426949094.8403
1962,4693566416.48346
1963,4928628018.38759
1964,5379845647.70139
1965,6197319929.04038
1966,6789938671.75094
1967,7555383690.16
1968,8623172959.89803
1969,9743089607.49587
1970,10976245153.5894
1971,13731801564.0908
1972,17153463263.1086
1973,27081698249.5083
1974,46209092072.1383
1975,51776222349.8869
1976,68055295080.7538
1977,80600122701.9632
1978,77994316621.4814
1979,90391877325.9285
1980,94362275580.0229
1981,100499312749.923
1982,125948756439.485
1983,156365156618.241
1984,162276728619.519
1985,180183629599.684
1986,209094561833.48
1987,134009995923.169
1988,123057861333.908
1989,120496362916.271
1990,124813263926.225
1993,63743623232.012
1994,71841461172.5964
1995,96419225743.6737
1996,120403931885.441
1997,113919163421.155
1998,110276913362.508
1999,113848450088.351
2000,109591707802.216
2001,126878750295.944
2002,128626917503.72
2003,153544751395.43
2004,190043433964.841
2005,226452138291.542
2006,266298911661.144
2007,349881601458.56
2008,412336172446.849
2009,416397025729.361
2010,486807615326.147
2011,626133114526.806
2012,644035510447.901
2013,492775565649.562
2014,460382791826.34
2015,408212918053.939
2016,457954614142.539
2017,486630146443.617
2018,330991589888.991
2019,291362916336.415
2020,231547571240.469
