,Israel
1960,2598500000.0
1961,3138500000.0
1962,2510000000.0
1963,2992333333.33333
1964,3405333333.33333
1965,3663333333.33333
1966,3980000000.0
1967,4030000000.0
1968,4619000000.0
1969,5329333333.33333
1995,100605702520.506
1996,110180666416.017
1997,114753492201.542
1998,115999082655.72
1999,117166318090.683
2000,132455662080.298
2001,130816321183.156
2002,121148475241.673
2003,127046633802.508
2004,135571348058.902
2005,142657069099.984
2006,154145495309.484
2007,179161786957.474
2008,216711549609.81
2009,207953439208.606
2010,234654589559.973
2011,262293871093.061
2012,258417104163.53
2013,294167366504.266
2014,310944937638.436
2015,300078278118.434
2016,319024417316.889
2017,355277223507.485
2018,373641241440.789
2019,397934596952.56
2020,407100736594.064
2021,481591266133.409
