,Italy
1960,40385288344.1911
1961,44842760293.1924
1962,50383891898.9911
1963,57710743059.8341
1964,63175417019.0094
1965,67978153850.5191
1966,73654870011.2757
1967,81133120065.4202
1968,87942231678.3505
1969,97085082807.3751
1970,113395315985.13
1971,124672365792.759
1972,145260039840.637
1973,175492055795.417
1974,199564489431.378
1975,227695851126.928
1976,224717278436.846
1977,257596313364.055
1978,315058323066.393
1979,393677161500.816
1980,477256775943.929
1981,430702851303.015
1982,427272645669.291
1983,443042373788.883
1984,437887689001.543
1985,452217492140.757
1986,640386352773.087
1987,805713128174.485
1988,891608957155.608
1989,928661332204.347
1990,1181222653522.95
1991,1246220156079.29
1992,1320161644933.23
1993,1064958075550.63
1994,1099216688280.5
1995,1174662070605.02
1996,1312426527795.21
1997,1241879604365.62
1998,1270052525928.4
1999,1252446659833.79
2000,1146676894209.73
2001,1168023426056.38
2002,1276769338449.3
2003,1577621707050.51
2004,1806542968545.56
2005,1858217147203.73
2006,1949551719389.64
2007,2213102482751.46
2008,2408655348718.59
2009,2199928804118.63
2010,2136099955236.67
2011,2294994296589.5
2012,2086957656821.6
2013,2141924094298.56
2014,2162009615996.54
2015,1836637711060.55
2016,1877071687633.78
2017,1961796197354.36
2018,2091932426266.98
2019,2011285742552.15
2020,1892574064222.11
2021,2099880198258.88
