,Japan
1960,44307342950.4
1961,53508617739.3778
1962,60723018683.7333
1963,69498131797.3333
1964,81749006381.5111
1965,90950278257.7778
1966,105628070343.111
1967,123781880217.6
1968,146601072685.511
1969,172204199480.889
1970,212609187919.444
1971,240151807460.241
1972,318031297492.352
1973,432082670450.719
1974,479625998613.406
1975,521541905673.251
1976,586161858999.671
1977,721411786536.814
1978,1013612173518.84
1979,1055012119526.33
1980,1105385973763.87
1981,1218988935129.81
1982,1134518001884.56
1983,1243323592058.83
1984,1318381627003.76
1985,1398892744820.69
1986,2078953333673.55
1987,2532808573157.03
1988,3071683013178.91
1989,3054914166263.18
1990,3132817652848.04
1991,3584420077100.84
1992,3908809463463.86
1993,4454143876947.21
1994,4998797547740.97
1995,5545563663889.7
1996,4923391533851.63
1997,4492448605638.94
1998,4098362709531.24
1999,4635982224063.88
2000,4968359075956.59
2001,4374711694090.87
2002,4182846045873.61
2003,4519561645253.53
2004,4893116005656.56
2005,4831467035389.8
2006,4601663122649.92
2007,4579750920354.81
2008,5106679115127.3
2009,5289493117993.89
2010,5759071769013.11
2011,6233147172341.35
2012,6272362996105.03
2013,5212328181166.18
2014,4896994405353.29
2015,4444930651964.18
2016,5003677627544.24
2017,4930837369151.42
2018,5037835383110.97
2019,5123318151510.62
2020,5040107754084.11
2021,4937421880461.55
