,Kazakhstan
1990,26932729102.7371
1991,24923076923.0769
1992,24917355371.9008
1993,23409260879.9427
1994,21250792886.1054
1995,20374302652.3819
1996,21035368250.8881
1997,22165932062.966
1998,22135254836.0031
1999,16870821839.7584
2000,18291994909.0044
2001,22152694161.8882
2002,24636593223.3467
2003,30833699702.7594
2004,43151647002.6096
2005,57123671733.8952
2006,81003884545.4099
2007,104849886825.584
2008,133441612246.798
2009,115308661142.927
2010,148047348240.643
2011,192626507971.584
2012,207998568865.789
2013,236634552078.102
2014,221415572819.5
2015,184388432148.715
2016,137278320084.171
2017,166805800595.704
2018,179339994859.384
2019,181667190075.541
2020,171082379532.988
2021,190814274226.211
