,Kenya
1960,791265458.818076
1961,792959472.139024
1962,868111400.014073
1963,926589348.572953
1964,998759333.643326
1965,997919319.980049
1966,1164519673.19763
1967,1232559505.92359
1968,1353295457.5261
1969,1458379415.40278
1970,1603447357.25171
1971,1778391289.19123
1972,2107279157.38336
1973,2508998457.4073
1974,2969942180.34692
1975,3259344935.76836
1976,3474542392.03212
1977,4494378855.33109
1978,5303734882.53447
1979,6234390975.27091
1980,7265315331.62273
1981,6854491453.90208
1982,6431579357.5481
1983,5979198463.78533
1984,6191437070.61366
1985,6135034338.11763
1986,7239126717.15527
1987,7970820530.60546
1988,8355380879.12955
1989,8283114648.24696
1990,8572359162.74408
1991,8151479004.21334
1992,8209129171.73649
1993,5751789915.05363
1994,7148145375.78545
1995,9046326059.98857
1996,12045858436.2399
1997,13115773737.5664
1998,14093998843.7334
1999,12896013576.7324
2000,12705357103.0056
2001,12986007425.8781
2002,13147743910.7241
2003,14904517649.8476
2004,16095337093.8366
2005,18737897744.7948
2006,25825524820.8064
2007,31958195182.2406
2008,35895153327.8497
2009,42347217912.9176
2010,45405587556.7313
2011,46869457318.2541
2012,56396706005.9435
2013,61671425370.0235
2014,68285768554.472
2015,70120413328.7838
2016,74815121314.9381
2017,82035800868.187
2018,92202956320.532
2019,100379713697.421
2020,100666542665.72
2021,110347079517.356
