,Lao PDR
1984,1757142805.71429
1985,2366666615.55556
1986,1776842041.05263
1987,1087273103.69639
1988,598961269.297879
1989,714046821.093797
1990,865559856.1639
1991,1028087972.31085
1992,1127806944.61513
1993,1327748654.65969
1994,1543606345.11684
1995,1763536304.53964
1996,1873671550.34636
1997,1747011857.33107
1998,1280177838.71905
1999,1454430642.49183
2000,1731198022.45494
2001,1768619058.34647
2002,1758176653.07746
2003,2023324407.30316
2004,2366398119.8821
2005,2735558726.25625
2006,3455031447.60194
2007,4223152219.2439
2008,5446434031.69042
2009,5836138127.06562
2010,7131773632.71369
2011,8750107401.57872
2012,10192848926.2582
2013,11983252611.2727
2014,13279248478.8161
2015,14426381187.0894
2016,15912495368.8717
2017,17071162084.4067
2018,18141651381.3884
2019,18740559554.1632
2020,18981800705.0794
2021,18827148530.0151
