,Latin America & Caribbean (excluding high income)
1960,68335857321.8995
1961,71544948483.8831
1962,77784478750.3849
1963,78360336748.5897
1964,89861395780.7576
1965,97441124532.4728
1966,107721559393.577
1967,109608801713.529
1968,117918086391.022
1969,132105648957.336
1970,143665863201.215
1971,159026726587.248
1972,180888542279.464
1973,242016640320.414
1974,317969211492.969
1975,342939911538.392
1976,373359667132.432
1977,405251896106.428
1978,460749682812.241
1979,540936697756.333
1980,653101648122.155
1981,747511583815.61
1982,689457573898.17
1983,595810038538.293
1984,601908846268.25
1985,596746544050.809
1986,596405787657.602
1987,640030883745.96
1988,710579828877.424
1989,798246046722.773
1990,963521069746.252
1991,1030648580113.4
1992,1119246593582.31
1993,1319057771622.4
1994,1567457870846.82
1995,1678200476373.74
1996,1832387532644.57
1997,1999393698681.25
1998,2008321073039.9
1999,1779648716733.92
2000,1968548980768.48
2001,1913816759273.13
2002,1720305024207.3
2003,1759381099333.17
2004,2008254671509.24
2005,2432275538021.06
2006,2839039058439.08
2007,3355658174829.68
2008,3882848034301.25
2009,3605011069899.57
2010,4513238410407.75
2011,5275523092614.56
2012,5247982874116.75
2013,5386102135060.8
2014,5410692635981.98
2015,4599013460013.28
2016,4469554771604.4
2017,4985190331086.06
2018,4840908109011.91
2019,4778836894074.21
2020,3997944092006.99
2021,4607069828667.43
