,Latvia
1995,5789128636.62293
1996,5975248851.45482
1997,6527926445.6811
1998,7166275467.65161
1999,7533788133.55753
2000,7958852838.93395
2001,8362398701.58943
2002,9557031605.27512
2003,11771975156.8073
2004,14435700533.368
2005,17003459863.0989
2006,21570076498.6205
2007,31054350977.9784
2008,35854274228.9139
2009,26410909090.9091
2010,23956163076.5575
2011,27474380566.265
2012,28169902669.3784
2013,30204783461.8488
2014,31386896487.0407
2015,27263090547.0617
2016,28083597512.4841
2017,30483806017.8318
2018,34429023435.0211
2019,34308783825.3019
2020,33645460617.239
2021,38872546228.5653
