,Libya
1990,28901836158.1921
1991,31995012468.8279
1992,33881392045.4545
1993,30657030223.3903
1994,28607921928.8175
1995,25544128198.9955
1996,27884615384.6154
1997,30698633109.1343
1998,27249786142.0017
1999,35976714100.9056
2000,38270206950.41
2001,34110064452.1567
2002,20481889763.7795
2003,26265625000.0
2004,33122307692.3077
2005,47334148578.4164
2006,60092950669.9147
2007,68035403136.3852
2008,86708074534.1615
2009,60810211408.0574
2010,75380170508.3675
2011,48167374611.9915
2012,92538004279.9398
2013,75350633010.9303
2014,57372445771.7699
2015,48717854039.9653
2016,49910960874.5685
2017,67158415841.5842
2018,76684175824.1758
2019,69252306372.0232
2020,52320215472.0934
2021,41879579677.1747
