,Low & middle income
1960,340510830935.511
1961,327573704284.639
1962,336199961706.766
1963,363552429876.238
1964,407203424264.165
1965,450283206433.341
1966,466959405732.092
1967,478503156192.343
1968,505183751289.022
1969,564900120512.342
1970,619514351203.733
1971,666974784145.895
1972,746282036241.208
1973,950341873312.901
1974,1207001795031.91
1975,1336168758750.07
1976,1434458242342.79
1977,1611951155912.81
1978,1748646423340.38
1979,2074404783018.67
1980,2442632451945.03
1981,2743022495621.0
1982,2703914705035.44
1983,2612889292296.22
1984,2641515741402.95
1985,2746284064419.52
1986,2850540003360.38
1987,2944697843696.52
1988,3130040477422.63
1989,3254339595539.06
1990,3750941357863.12
1991,3629531279642.55
1992,3748472681845.14
1993,4001217916505.26
1994,4389198172545.05
1995,4950561339898.63
1996,5427629004911.58
1997,5745768683400.66
1998,5561977369720.78
1999,5447032994871.06
2000,5953459630148.95
2001,6008129525499.59
2002,6158909850504.48
2003,6937667685211.89
2004,8234420380683.03
2005,9802637417721.85
2006,11629105744344.4
2007,14360291313346.4
2008,17182795394157.1
2009,16808085421067.4
2010,20449643438266.6
2011,24135693834211.3
2012,25680357132455.0
2013,27188300106079.8
2014,28100455731233.0
2015,26661349279436.3
2016,26902975428802.6
2017,29564640715524.3
2018,31299342895042.8
2019,32061336323529.7
2020,30913851917481.4
2021,36315909953199.6
