,Low income
1967,19741653042.3432
1968,20897885536.0615
1969,23878188052.3458
1970,24704055289.2265
1971,26917142087.4528
1972,29415415327.3686
1973,35215668080.8504
1974,44132106654.2446
1975,50449989531.6623
1976,53491003282.7882
1977,62072303960.9591
1978,69726074173.0233
1979,77341969225.0966
1980,84179626092.5304
1981,86283595254.5349
1982,87866778169.0623
1983,85110546967.216
1984,83629172334.3078
1985,84188536380.7198
1986,96221839437.6217
1987,111710470004.627
1988,101660894889.679
1989,112343027820.424
1990,137462379562.085
1991,154533289024.662
1992,114087867264.997
1993,119531542808.135
1994,118299835711.141
1995,133132234671.114
1996,146937865859.925
1997,158386315680.01
1998,161468547986.112
1999,163990344298.606
2000,191364834842.565
2001,191713733620.692
2002,205306468042.37
2003,224696727885.033
2004,264096353301.261
2005,315877547388.473
2006,369570883163.472
2007,443730997460.071
2008,532646513829.147
2009,542943742640.664
2010,613154883985.615
2011,461376793898.543
2012,437977409270.64
2013,449878650135.62
2014,480290463938.974
2015,474997750204.314
2016,470793414270.398
2017,527246970766.453
2018,453567578538.199
2019,479642679708.745
2020,481025300269.274
2021,526277736196.316
