,Lower middle income
1960,91051691348.1171
1961,96427131270.4783
1962,97978908295.9064
1963,109077850457.219
1964,122476594969.115
1965,132042678170.467
1966,121144755265.215
1967,129448724594.552
1968,139451065466.123
1969,154870279794.827
1970,171623084773.259
1971,181069146770.952
1972,197102118097.537
1973,242586844981.729
1974,323544944611.7
1975,360233117358.05
1976,401049308290.147
1977,461844258429.227
1978,509276745802.063
1979,585455314315.687
1980,710907102384.624
1981,855541296755.023
1982,880945231672.427
1983,871356345905.669
1984,860783623792.396
1985,917245203555.422
1986,975995621995.292
1987,955327139598.85
1988,972633173550.663
1989,972110409902.134
1990,1047869551725.56
1991,989260169626.154
1992,1039038489232.49
1993,1046851950149.48
1994,1128027697089.82
1995,1280790256824.56
1996,1432365318378.96
1997,1465410291087.96
1998,1338625745443.16
1999,1445505061993.85
2000,1520346575348.64
2001,1553825212627.47
2002,1661617328789.05
2003,1907332353112.03
2004,2209978593416.25
2005,2564416118079.36
2006,3035036099828.57
2007,3726218683854.9
2008,4219794226615.26
2009,4295939645687.15
2010,5246900710108.43
2011,6031008465910.43
2012,6329151640687.13
2013,6432753018623.35
2014,6682831969457.04
2015,6525989100013.56
2016,6885317061857.85
2017,7396385303040.09
2018,7541059240415.66
2019,7894761632394.7
2020,7585548465069.87
2021,8683293482839.04
