,"Macao SAR, China"
1982,1142503774.61531
1983,1133008225.93178
1984,1304353236.9266
1985,1362079311.89678
1986,1532097039.88419
1987,1957726784.68876
1988,2288759545.30756
1989,2705659766.73845
1990,3246477995.26244
1991,3765226190.92238
1992,4914391079.11142
1993,5665570560.77112
1994,6311194301.7223
1995,7046110595.14546
1996,7176892950.39164
1997,7267563602.6231
1998,6797764074.79822
1999,6547629474.84328
2000,6774193548.3871
2001,6860272608.45211
2002,7371723056.2402
2003,8246521717.44876
2004,10643215078.1581
2005,12160002995.8433
2006,14874147024.2708
2007,18439876056.1978
2008,21027044550.5667
2009,21587740941.5979
2010,28241858488.9155
2011,36845925519.4433
2012,43189526777.5567
2013,51536304807.6803
2014,54903031137.7096
2015,45047964934.2517
2016,45070605746.0194
2017,50440941938.6992
2018,55284360483.1217
2019,55204758069.5124
2020,25586111076.3415
2021,29905190181.75
