,Madagascar
1960,673081724.083139
1961,699161943.864184
1962,739286906.85904
1963,759345862.979021
1964,802482182.93232
1965,833563472.170794
1966,900264583.697323
1967,956436931.152034
1968,1031669636.37161
1969,1056391054.5386
1970,1111859569.76149
1971,1199507629.99395
1972,1341590681.57712
1973,1653062347.35142
1974,1917508190.04689
1975,2283049233.30356
1976,2181844193.9391
1977,2358930406.40496
1978,2669755115.52344
1979,3463565881.40858
1980,5201818348.90675
1981,4759333969.81816
1982,4784977348.94327
1983,4686457013.09944
1984,3905938480.86119
1985,3802557894.8719
1986,4347989798.69992
1987,3212900560.76722
1988,3189456961.30819
1989,3175638332.64471
1990,3931334870.67235
1991,3254713056.02171
1992,3714967007.18602
1993,4063298919.2868
1994,3522226902.75861
1995,3838101052.21232
1996,4931861239.07864
1997,4262965281.5836
1998,4401967499.25594
1999,4277903780.29131
2000,4629247090.97816
2001,5438332738.10373
2002,5351701534.15801
2003,6372498719.84613
2004,5064732715.72615
2005,5859269849.14523
2006,6395712392.23682
2007,8524620739.24074
2008,10725137930.8286
2009,9616879571.46431
2010,9982711338.11814
2011,11551819617.6271
2012,11578974887.9562
2013,12423555269.3893
2014,12522957228.1764
2015,11323020828.5758
2016,11848613735.1933
2017,13176313593.5509
2018,13614412550.8812
2019,14191911512.0465
2020,13225591803.6232
2021,14637400395.689
