,Malawi
1960,162956740.865183
1961,174576508.469831
1962,183116337.673247
1963,190816183.676326
1964,194736105.277894
1965,229455410.891782
1966,260394792.104158
1967,269814968.240817
1968,245169806.792272
1969,265810632.425297
1970,290531621.264851
1971,365386929.835119
1972,406062874.251497
1973,444281703.893568
1974,548621017.593913
1975,613220652.928919
1976,670317634.173056
1977,806290840.624654
1978,949034016.830627
1979,1058269065.98115
1980,1237655461.1501
1981,1237685691.94683
1982,1180104216.01137
1983,1223186840.31324
1984,1208008985.42522
1985,1131347798.26653
1986,1183654827.79002
1987,1183094127.76747
1988,1379924257.21313
1989,1590215582.53307
1990,1880771556.30474
1991,2203545856.66893
1992,1799517081.56412
1993,2070636935.58644
1994,1181802596.03498
1995,1397457932.30697
1996,2281034131.36493
1997,2663234933.89767
1998,1750584265.28754
1999,1775921718.10534
2000,1743506531.32652
2001,1716502862.2954
2002,3495748397.63025
2003,3208837077.25069
2004,3476094498.87517
2005,3655909664.1423
2006,3998020176.67364
2007,4432937045.79897
2008,5321012192.33619
2009,6191127665.1963
2010,6959655570.89098
2011,8004000737.30717
2012,6028487928.83351
2013,5518880768.57955
2014,6047813437.31804
2015,6373212640.84604
2016,5433040159.88747
2017,8943543677.18899
2018,9880676218.82611
2019,11025370768.8135
2020,12172128469.5737
2021,12626718073.7439
