,Maldives
1980,42463576.1589404
1981,44781456.9536424
1982,47911119.7847694
1983,57829787.2340426
1984,109503546.099291
1985,127190757.959989
1986,141882254.230178
1987,141223029.383064
1988,168514513.375071
1989,189514434.244
1990,215043969.849246
1991,244396761.92334
1992,284874919.577641
1993,322417837.161971
1994,356013395.70854
1995,398988954.970263
1996,450382327.952421
1997,508223602.378929
1998,540096397.621071
1999,589239753.610875
2000,624337145.284622
2001,870030468.628748
2002,897031250.0
2003,1052121054.6875
2004,1226829562.5
2005,1163362437.5
2006,1575200390.625
2007,1868383460.9375
2008,2271646187.5
2009,2345294875.0
2010,2588176054.6875
2011,2774351760.03287
2012,2886170571.69634
2013,3295011381.75405
2014,3697351596.83753
2015,4109424799.72407
2016,4379136461.83077
2017,4754175869.24027
2018,5300962659.51088
2019,5607762625.14627
2020,3742769967.42798
2021,4889666931.63855
