,Marshall Islands
1981,31020000.0
1982,34918000.0
1983,41749000.0
1984,45144000.0
1985,43879000.0
1986,55989000.0
1987,62983000.0
1988,70688000.0
1989,72798000.0
1990,78476000.0
1991,82507000.0
1992,91063000.0
1993,99461000.0
1994,108071000.0
1995,120230000.0
1996,110858000.0
1997,110705600.0
1998,112279400.0
1999,114326300.0
2000,115347500.0
2001,122824000.0
2002,131738200.0
2003,131398500.0
2004,132440200.0
2005,136559500.0
2006,141515800.0
2007,148346700.0
2008,151898900.0
2009,149769600.0
2010,160407100.0
2011,172188500.0
2012,180436300.0
2013,184840400.0
2014,182142800.0
2015,183814300.0
2016,201510900.0
2017,213204100.0
2018,221588900.0
2019,239462200.0
2020,244462400.0
2021,248665600.0
