,Mexico
1960,13040000000.0
1961,14160000000.0
1962,15200000000.0
1963,16960000000.0
1964,20080000000.0
1965,21840000000.0
1966,24320000000.0
1967,26560000000.0
1968,29360000000.0
1969,32480000000.0
1970,35520000000.0
1971,39200000000.0
1972,45200000000.0
1973,55280000000.0
1974,72000000000.0
1975,88000000000.0
1976,89025974025.974
1977,81814159292.0354
1978,102500000000.0
1979,134561403508.772
1980,205139086956.522
1981,263959336734.694
1982,184609157801.418
1983,156159198584.513
1984,184261495828.367
1985,195219789801.479
1986,134550096436.744
1987,147540738281.817
1988,181611549975.804
1989,221400669713.589
1990,261253582805.945
1991,313142768453.485
1992,363157598242.27
1993,500736065605.341
1994,527813238126.278
1995,360073909243.855
1996,410975595310.156
1997,500413483109.175
1998,526502129378.284
1999,600232874042.927
2000,707906744574.644
2001,756706300589.791
2002,772106378935.377
2003,729336319677.449
2004,782240601984.76
2005,877476221382.101
2006,975387131716.089
2007,1052696282278.87
2008,1109989063586.62
2009,900045350649.351
2010,1057801295584.05
2011,1180489601957.61
2012,1201089987015.45
2013,1274443084716.57
2014,1315351183524.54
2015,1171867608197.72
2016,1078490651625.31
2017,1158913035796.37
2018,1222408203104.3
2019,1269404276770.7
2020,1087117783073.31
2021,1293037866360.17
