,Middle East & North Africa
1968,44425424089.7057
1969,49164893255.2329
1970,55582823710.4061
1971,65781993990.5567
1972,79687086013.8303
1973,107907687261.732
1974,201523288248.792
1975,222828199360.909
1976,281690014358.898
1977,327513058375.064
1978,349638130767.767
1979,458974955045.478
1980,594416883178.417
1981,615463717669.685
1982,614555917352.169
1983,622070642483.381
1984,634349949211.773
1985,650889057869.126
1986,668547476660.083
1987,615589157376.803
1988,583498501058.604
1989,605930556170.153
1990,800911182301.326
1991,560573035816.546
1992,612529655573.133
1993,621840913800.168
1994,655962738349.151
1995,739588171284.806
1996,836065935091.983
1997,879599564823.738
1998,860090776101.312
1999,933774267097.144
2000,1046434254191.58
2001,1041162611078.13
2002,1035735994858.66
2003,1148509587284.79
2004,1356617397186.67
2005,1632556868277.27
2006,1913154354527.16
2007,2259541581662.47
2008,2817287513953.92
2009,2544722519108.03
2010,2973064856620.78
2011,3355720924936.76
2012,3614568535814.05
2013,3553161343517.32
2014,3569382045547.03
2015,3140633464178.65
2016,3168626876840.16
2017,3296304700286.03
2018,3459086397885.49
2019,3465217350186.81
2020,3106899915587.77
2021,3636731834007.36
