,Middle income
1960,327378981822.732
1961,314173335222.901
1962,321013253494.397
1963,344193246943.035
1964,391811479359.991
1965,432030821558.212
1966,446883331367.872
1967,458927285619.457
1968,484458269063.392
1969,541194915414.76
1970,595057671653.292
1971,640314400907.24
1972,717174799695.986
1973,915585364123.461
1974,1163470529240.25
1975,1286335356004.07
1976,1381649556808.12
1977,1550587300954.72
1978,1679617913508.88
1979,1998049876111.16
1980,2359819150586.12
1981,2658380761768.63
1982,2617468560265.29
1983,2529137381694.21
1984,2559429661755.67
1985,2663888085881.87
1986,2755640359635.33
1987,2833272172876.18
1988,3029629891960.17
1989,3144259697220.86
1990,3617243568343.81
1991,3480975951530.28
1992,3636715025641.48
1993,3883993391000.67
1994,4272198611798.94
1995,4818866849737.52
1996,5282365361581.18
1997,5589439201143.07
1998,5403317322873.33
1999,5286380854405.08
2000,5766960018193.37
2001,5821190509331.12
2002,5959340912114.53
2003,6718932605968.71
2004,7977201612689.87
2005,9495060593109.66
2006,11268988246212.1
2007,13927269541808.8
2008,16663092773554.8
2009,16278881812380.3
2010,19850871604565.5
2011,23678382697159.6
2012,25244100594201.5
2013,26739563342646.6
2014,27621943655332.5
2015,26188792677442.2
2016,26434313003919.9
2017,29040121195033.7
2018,30844577555857.3
2019,31581053756606.8
2020,30433799984879.0
2021,35785944374024.4
