,Monaco
1970,293073868.038497
1971,327651487.974965
1972,402460333.247989
1973,523552815.099552
1974,563939670.684242
1975,711922994.25844
1976,735339911.91765
1977,811250927.388123
1978,1000535735.37664
1979,1209898293.39444
1980,1378130995.60185
1981,1205166025.47602
1982,1143229071.83219
1983,1092551781.03673
1984,1037314956.23209
1985,1082851076.49699
1986,1515209588.20845
1987,1839095595.29143
1988,2000674667.1353
1989,2010116851.24167
1990,2481316053.96507
1991,2480598883.85071
1992,2737192565.05576
1993,2574302409.08038
1994,2720310018.90359
1995,3130462610.06703
1996,3137673291.44762
1997,2840175545.06631
1998,2934498443.40672
1999,2906093756.65885
2000,2647885848.5351
2001,2718868306.01093
2002,2968987019.23077
2003,3601321064.55266
2004,4137913500.0
2005,4203084193.50827
2006,4582988332.70606
2007,5867916780.72817
2008,6476490405.74191
2009,5451653237.01028
2010,5367625613.15127
2011,6088808463.25167
2012,5743029680.07195
2013,6555983530.34932
2014,7069616048.89066
2015,6261622101.40908
2016,6472990923.1791
2017,6431314957.07185
2018,7194024563.06094
2019,7383745662.15157
2020,6816219303.25528
