,Mongolia
1981,2310099100.0
1982,2552401933.33333
1983,2725736633.33333
1984,2098734600.0
1985,2186505475.0
1986,2896178866.66667
1987,3020611600.0
1988,3204461566.66667
1989,3576966800.0
1990,2560785660.0
1991,2379018326.31579
1992,1317611863.84977
1993,768401634.154573
1994,925817092.217484
1995,1452165005.2384
1996,1345719472.35883
1997,1180934202.83801
1998,1124440248.9783
1999,1057408588.68269
2000,1136896123.61298
2001,1267997934.3125
2002,1396555719.97409
2003,1595297355.78349
2004,1992066808.09598
2005,2523471532.01083
2006,3414055566.1138
2007,4234999823.30839
2008,5623216448.86852
2009,4583850367.88972
2010,7189481824.07288
2011,10409797649.3063
2012,12292770631.1967
2013,12582122604.1921
2014,12226514722.0861
2015,11619892396.0767
2016,11181350461.4723
2017,11480847745.3187
2018,13178094459.4548
2019,14206359006.8095
2020,13312981594.573
2021,15098022828.6106
