,Mozambique
1991,3633406064.83095
1992,2639953230.54915
1993,2729550591.08977
1994,2796549978.47183
1995,2899922841.66085
1996,3856799844.1609
1997,4648832184.06736
1998,5263877520.08489
1999,5976408043.77265
2000,5656473652.41147
2001,5398568543.63492
2002,5677003239.29386
2003,6303391143.83386
2004,7631120533.36168
2005,8542070109.70903
2006,9176889070.42298
2007,10450843291.2931
2008,12556195188.5962
2009,11914471497.1492
2010,11104649065.1649
2011,14381552466.6044
2012,16350813486.9908
2013,16974314296.2182
2014,17716091057.2675
2015,15950979333.1582
2016,11936993086.9579
2017,13219079497.7055
2018,14845400592.6712
2019,15390031039.9957
2020,14028811071.7628
2021,16095828896.6342
