,Myanmar
1961,584351384.464088
1962,612517344.756215
1963,659976659.599529
1964,475197381.868256
1965,402619413.648984
1966,317816209.973753
1967,328182434.544961
1968,531186357.405981
1969,551379225.912926
1970,578992638.8291
1971,559378375.675676
1972,634525053.103964
1973,667038769.091964
1974,1000557949.59229
1975,1128484859.02503
1976,1155595925.08513
1977,1000350726.87418
1978,916914661.349421
1979,919525191.636393
1980,1010596805.47618
1981,1064867669.38909
1982,1302701536.67393
1983,1427209835.80133
1984,1354699245.07241
1985,1310837294.25837
1986,1590096758.97152
1987,1448003803.86246
1988,1392547742.82535
1989,1674823310.86252
1990,2036373522.68939
1991,2137184858.04416
1992,2216072577.11344
1993,2809748387.09677
1994,3821535779.81651
1995,4879257847.77122
1996,5759624742.26804
1997,5633070602.54016
1998,4613071494.63459
1999,5643818689.479
2000,6849321645.95623
2001,6220270632.33592
2002,6110632857.66584
2003,7754647428.07323
2004,9390855297.73553
2005,10588433068.8549
2006,11863016315.2934
2007,15591182544.7092
2008,23013015832.1023
2009,29455165594.6859
2010,37796052938.7278
2011,54118601974.7947
2012,58318677644.9492
2013,60572257122.2962
2014,63264892768.3726
2015,63045305229.1046
2016,60291736893.9397
2017,61449392056.1488
2018,67144725830.5753
2019,68697759361.231
2020,78930257227.0908
2021,65067808984.6792
