,Nepal
1960,508334413.965087
1961,531959561.62226
1962,574091101.194382
1963,496947904.443033
1964,496098775.308642
1965,735267082.294264
1966,906811943.824649
1967,841974025.462659
1968,772228643.405428
1969,788641965.432099
1970,865975308.641975
1971,882765471.604938
1972,1024098804.93827
1973,972101724.995368
1974,1217953546.97604
1975,1575789254.46938
1976,1452792989.10865
1977,1382400000.0
1978,1604162497.45945
1979,1851250008.33333
1980,1945916583.33333
1981,2275583316.66667
1982,2395429852.43076
1983,2447174803.37791
1984,2581207387.79709
1985,2619913955.51556
1986,2850784523.37711
1987,2957255379.54315
1988,3487009748.35638
1989,3525228153.17361
1990,3627562402.66027
1991,3921476084.89072
1992,3401211581.29176
1993,3660041666.66667
1994,4066775510.20408
1995,4401104417.67068
1996,4521580381.47139
1997,4918691916.53516
1998,4856255044.39064
1999,5033642384.10596
2000,5494252207.90502
2001,6007055042.17687
2002,6050875806.66403
2003,6330473096.54071
2004,7273938314.71988
2005,8130258041.46706
2006,9043715355.8881
2007,10325618017.379
2008,12545438605.3959
2009,12854985464.0764
2010,16002656434.4746
2011,21573862466.8268
2012,21703106501.9674
2013,22162208956.1412
2014,22731602969.9687
2015,24360795410.6422
2016,24524098184.648
2017,28971589213.2184
2018,33111525871.9538
2019,34186190995.9565
2020,33433670511.9364
2021,36288830373.4106
