,North America
1960,583846188346.724
1961,604324202050.644
1962,647421597617.883
1963,683726355213.516
1964,735285089547.337
1965,798329518629.68
1966,876222557410.438
1967,927523758485.753
1968,1014479810519.9
1969,1099213311661.69
1970,1161385395320.13
1971,1264333061774.61
1972,1392428220486.92
1973,1556967358814.12
1974,1705964297341.51
1975,1859083029689.34
1976,2080373864908.72
1977,2293885157028.68
1978,2570707667537.48
1979,2870922302612.26
1980,3131774126516.07
1981,3513994963656.99
1982,3658081025119.14
1983,3975475111781.89
1984,4393971258071.62
1985,4704774999482.75
1986,4958242427343.98
1987,5287828242049.45
1988,5745207451214.25
1989,6208137243275.24
1990,6558665950908.47
1991,6770092083643.19
1992,7114394589252.92
1993,7437550121856.44
1994,7867242439537.61
1995,8245811373433.4
1996,8704363777972.13
1997,9235474283855.56
1998,9699948950000.0
1999,10312911118271.1
2000,10999201631931.6
2001,11324592049355.4
2002,11693699517098.0
2003,12356169212634.8
2004,13248368139278.3
2005,14217175927778.7
2006,15140995757591.0
2007,15949814312783.3
2008,16329827601721.7
2009,15859346076157.3
2010,16672942337486.3
2011,17399367444174.5
2012,18088716899521.6
2013,18696254170835.0
2014,19362844040439.9
2015,19769184098217.1
2016,20230005494907.4
2017,21136028016244.1
2018,22259711195783.0
2019,23122010947482.3
2020,22546048902568.4
2021,24993942509665.2
