,Norway
1960,5163271598.15702
1961,5632460936.54576
1962,6066976682.67364
1963,6510239502.76489
1964,7159202706.48027
1965,8058681060.159
1966,8696460205.3397
1967,9514496703.39762
1968,10159934136.7838
1969,11063065083.4888
1970,12814123115.2613
1971,14583114840.0629
1972,17358610849.701
1973,22534253702.8686
1974,27145693810.1341
1975,32877805200.023
1976,35942270686.3374
1977,41508030431.1074
1978,46523091009.6713
1979,53132244623.9213
1980,64439382896.0156
1981,63596654760.8677
1982,62647195537.6511
1983,61627240831.0948
1984,62057955032.7758
1985,65416879914.3907
1986,78693253275.995
1987,94230055658.6271
1988,101900260856.222
1989,102633789557.535
1990,119791683307.507
1991,121872464483.487
1992,130838040067.584
1993,120579072750.596
1994,127131461119.927
1995,152029612324.788
1996,163520109150.671
1997,161356631888.484
1998,154163364302.66
1999,162284465073.341
2000,171247131268.604
2001,173972218824.027
2002,195524186477.617
2003,228858506821.841
2004,264511630666.983
2005,308884284051.222
2006,345581369965.54
2007,400937100158.657
2008,462250000000.0
2009,386190385318.767
2010,428757038466.841
2011,498283438454.281
2012,509506317146.541
2013,522761531914.894
2014,498410050251.256
2015,385801550067.169
2016,368827142857.143
2017,398393955268.99
2018,436999692591.454
2019,404941363636.364
2020,362198318435.26
2021,482437019790.454
