,Other small states
1970,3136476958.99579
1971,3723426344.1656
1972,4506546713.2559
1973,6529375923.49239
1974,12037239753.6739
1975,13436837666.8207
1976,16704012206.5672
1977,18809922826.4721
1978,20752026455.7135
1979,26946863024.5754
1980,37417416943.584
1981,37615307068.8125
1982,35579096423.4721
1983,33610515752.9598
1984,33852774937.4932
1985,32170855263.6061
1986,32577247330.2291
1987,38664036948.3872
1988,43438789147.6532
1989,45483670062.0318
1990,54434615051.6632
1991,56052410139.8494
1992,61143960155.0863
1993,58226835011.0742
1994,60908208951.0707
1995,70232782411.7001
1996,73995137575.7305
1997,76863051371.564
1998,75292616832.644
1999,80948689717.0993
2000,91409484061.6568
2001,90943070776.2403
2002,98114311646.0009
2003,122145547137.782
2004,151573297104.561
2005,183626997445.752
2006,215785894153.758
2007,264055704494.688
2008,323026840855.029
2009,277199129949.167
2010,322471063932.647
2011,396965637170.09
2012,414201992255.111
2013,432289396601.509
2014,446284720914.132
2015,369987880629.301
2016,365901654951.657
2017,398431383419.643
2018,441994932565.805
2019,432762687769.924
2020,376519277668.36
2021,447252486851.265
