,Panama
1960,537147100.0
1961,599026300.0
1962,652120900.0
1963,722784500.0
1964,776137500.0
1965,852485300.0
1966,928833000.0
1967,1034376400.0
1968,1112791100.0
1969,1221305700.0
1970,1351006400.0
1971,1523917200.0
1972,1673411700.0
1973,1913793400.0
1974,2188307600.0
1975,2435304100.0
1976,2588106000.0
1977,2738261900.0
1978,3244558600.0
1979,3704551600.0
1980,4614086400.0
1981,5222421500.0
1982,5769767900.0
1983,5923755900.0
1984,6183387100.0
1985,6541517100.0
1986,6797834200.0
1987,6827665300.0
1988,5902783400.0
1989,5918469800.0
1990,6433967000.0
1991,7074675500.0
1992,8042337700.0
1993,8782585400.0
1994,9365289800.0
1995,9573813700.0
1996,9870494000.0
1997,10677286100.0
1998,11575486400.0
1999,12130252200.0
2000,12304115000.0
2001,12502013400.0
2002,12994310400.0
2003,13693981200.0
2004,15013381700.0
2005,16374393900.0
2006,18141666300.0
2007,21295984200.0
2008,25155888600.0
2009,27116635600.0
2010,29440287600.0
2011,34686224300.0
2012,40429734400.0
2013,45599994000.0
2014,49921464400.0
2015,54091713800.0
2016,57907695400.0
2017,62202725200.0
2018,64929409200.0
2019,66984427200.0
2020,53977037000.0
2021,63605065800.0
