,Poland
1990,65977749036.9844
1991,85500935934.9901
1992,94337050693.2727
1993,96045645026.178
1994,110803391516.698
1995,142292783505.155
1996,160193242090.427
1997,159357789772.207
1998,174685791563.561
1999,170031005016.259
2000,172219461126.067
2001,190905493539.168
2002,199072058823.529
2003,217827260805.842
2004,255110181539.808
2005,306144336269.51
2006,344622003093.581
2007,429028505365.078
2008,533609081852.897
2009,439737508413.192
2010,479834179020.33
2011,528301269069.799
2012,498523568248.119
2013,521016262734.924
2014,542477096211.761
2015,477811911394.084
2016,472630364208.177
2017,526508877305.321
2018,587411745161.558
2019,597280564671.563
2020,596624355719.671
2021,674048266397.369
