,Portugal
1960,3193200404.37297
1961,3417516639.37596
1962,3668222357.65702
1963,3905734459.72693
1964,4235608177.67102
1965,4687464054.83455
1966,5135387845.97108
1967,5740241165.63433
1968,6354262628.33537
1969,6969025825.62868
1970,8108235704.32357
1971,9201604240.28269
1972,11239117865.0852
1973,15090564186.4268
1974,17512391475.9274
1975,19347607843.1373
1976,20332831564.9867
1977,21439523310.6338
1978,23487614051.0949
1979,26622819672.1311
1980,32896519823.7885
1981,31977276872.9642
1982,30527754793.1382
1983,27239650741.9472
1984,25217969049.5755
1985,27115807742.0873
1986,38745901353.7059
1987,48182925857.4071
1988,56347250696.3788
1989,60594092182.3275
1990,78713860216.5659
1991,89233599278.4792
1992,107592098307.098
1993,95009751901.2592
1994,99688641304.3478
1995,118122007430.012
1996,122630089680.27
1997,117016535162.95
1998,123946327916.296
1999,127470385557.184
2000,118605192877.388
2001,121604107164.997
2002,134795565549.419
2003,165226175536.793
2004,189382122532.169
2005,197253876704.921
2006,208756449275.848
2007,240496147317.381
2008,263416394624.084
2009,244667762835.543
2010,238113003233.284
2011,245117990242.248
2012,216224240577.957
2013,226433858005.714
2014,229901964221.884
2015,199394066525.44
2016,206426152308.931
2017,221357874718.93
2018,242313116577.967
2019,239986922638.902
2020,228539245045.341
2021,249886464354.752
