,Qatar
1970,301791301.791302
1971,387700084.245998
1972,510259940.720474
1973,793884368.040437
1974,2401403227.44085
1975,2512784033.37828
1976,3284301332.18953
1977,3617580171.76055
1978,4052000412.70087
1979,5633000318.02401
1980,7829094613.07082
1981,8661263763.73626
1982,7596703214.28571
1983,6467582307.69231
1984,6704395824.17582
1985,6153296456.04396
1986,5053021950.54945
1987,5446428681.31868
1988,6038187032.96703
1989,6487912087.91209
1990,7360439423.07692
1991,6883516483.51648
1992,7646153983.51648
1993,7156593653.84615
1994,7374450769.23077
1995,8137911978.02198
1996,9059340384.61539
1997,11297802115.3846
1998,10255495027.4725
1999,12393131868.1319
2000,17759890109.8901
2001,17538461538.4615
2002,19363736263.7363
2003,23533791208.7912
2004,31734065934.0659
2005,44530494505.4945
2006,60882142857.1429
2007,79712087912.0879
2008,115270054945.055
2009,97798351648.3516
2010,125122306346.154
2011,167775268614.037
2012,186833502362.128
2013,198727642979.297
2014,206224598564.624
2015,161739955577.748
2016,151732181857.113
2017,161099122215.307
2018,183334953813.209
2019,175837550996.185
2020,144411363345.27
2021,179570783550.549
