,Russian Federation
1988,554713455149.502
1989,506500173960.269
1990,516814274021.956
1991,517962962962.963
1992,460290556900.726
1993,435083713850.837
1994,395077301248.464
1995,395537185734.854
1996,391724890744.498
1997,404928954191.876
1998,270955486862.442
1999,195907128350.934
2000,259710142196.943
2001,306602070620.5
2002,345470494417.863
2003,430347770731.787
2004,591016690742.798
2005,764017107992.391
2006,989930542278.695
2007,1299705764823.62
2008,1660846387624.78
2009,1222644282201.86
2010,1524917468442.01
2011,2045925608274.37
2012,2208295773643.15
2013,2292473246621.08
2014,2059241965490.83
2015,1363481063446.77
2016,1276786979221.81
2017,1574199387070.9
2018,1657329646183.62
2019,1693113904262.89
2020,1488321875489.74
2021,1775799919352.98
