,Saudi Arabia
1968,4187777711.11111
1969,4485777644.44444
1970,5377268848.44444
1971,7184863276.49996
1972,9664067929.69504
1973,14947491056.4938
1974,45412971909.8592
1975,46773303721.2872
1976,64005623869.6884
1977,74188363504.5814
1978,80265732292.0344
1979,111859726428.231
1980,164541658298.013
1981,184291888768.662
1982,153238991867.452
1983,129171602026.049
1984,119624918955.732
1985,103897892810.602
1986,86962013011.0721
1987,85695941759.6796
1988,88256162069.4259
1989,95344352822.4299
1990,117630271802.403
1991,132223268491.322
1992,137087876662.216
1993,132967901415.22
1994,135174886488.652
1995,143343036341.789
1996,158662398744.993
1997,165963557409.88
1998,146775498080.0
1999,161716960000.0
2000,189514926213.333
2001,184137469733.333
2002,189605920240.0
2003,215807655253.333
2004,258742263040.0
2005,328459700114.755
2006,376900135727.637
2007,415964583055.37
2008,519796738640.0
2009,429097899280.0
2010,528207332649.536
2011,671238840108.229
2012,735974843348.664
2013,746647127407.619
2014,756350347320.381
2015,654269739552.019
2016,644935682011.475
2017,688586094412.68
2018,816578674529.141
2019,803616264791.024
2020,703367841222.555
2021,833541236569.315
