,Serbia
1995,16832598870.0565
1996,21818007448.7896
1997,25676487999.5941
1998,19457979423.376
1999,19388663551.0012
2000,6875845986.52121
2001,12960538723.7591
2002,17120906918.3503
2003,22482365321.7656
2004,26141968161.0924
2005,27683225959.2468
2006,32482070360.3204
2007,43170990616.4729
2008,52194221468.5007
2009,45162894380.9318
2010,41819468691.8251
2011,49258136128.9672
2012,43309252921.0567
2013,48394239474.6762
2014,47062206677.6539
2015,39655958842.5478
2016,40692643373.0327
2017,44179055279.8887
2018,50640650221.4622
2019,51514222381.8428
2020,53335016425.4148
2021,63068134601.1254
