,Sierra Leone
1960,322009471.56704
1961,327834680.557103
1962,342721579.817636
1963,348546952.134368
1964,371848114.747956
1965,359379856.248057
1966,375479849.80806
1967,348795303.000385
1968,329860091.944037
1969,408690163.476065
1970,434410373.764149
1971,419549425.077086
1972,465381089.98454
1973,575230234.387058
1974,648590642.939888
1975,679335901.117451
1976,594895672.333848
1977,691777758.395115
1978,960728338.93643
1979,1109374722.08294
1980,1100685844.92284
1981,1114830471.91787
1982,1295361885.92419
1983,995104305.347075
1984,1087471861.98928
1985,856890498.625834
1986,490181456.62441
1987,701307602.28443
1988,1055083945.37738
1989,932974411.917142
1990,649644826.800447
1991,779981458.921489
1992,679997997.597117
1993,768812334.801762
1994,911915970.683484
1995,870758739.40678
1996,941742152.709895
1997,850218033.622007
1998,672375927.347148
1999,669384768.87263
2000,635874002.198748
2001,1090467712.30773
2002,1253340519.53311
2003,1385810072.19217
2004,1448536630.88143
2005,1650494366.99875
2006,1885112201.85278
2007,2158496872.85796
2008,2505458705.03338
2009,2453899846.88317
2010,2578026297.15912
2011,2942546781.04548
2012,3801862611.36414
2013,4920343194.99339
2014,5015157815.73406
2015,4218723875.1379
2016,3674794530.18956
2017,3719369107.34992
2018,4085114794.22324
2019,4076578542.56207
2020,4063289449.58795
2021,4200380124.32911
