,Singapore
1960,704756304.717104
1961,764634783.744937
1962,826244609.95688
1963,917614007.578727
1964,894159153.273226
1965,974650463.870378
1966,1096432771.46217
1967,1238043904.35123
1968,1425715405.72325
1969,1659904612.57023
1970,1920586698.02692
1971,2263785443.61688
1972,2721440980.75851
1973,3696213333.33333
1974,5221534955.64418
1975,5633673929.99302
1976,6327077974.10703
1977,6618585073.66035
1978,7517176354.84135
1979,9296921723.83465
1980,11896256782.8566
1981,14175228843.6391
1982,16084252378.473
1983,17784112149.5327
1984,19749361097.965
1985,19156532745.7691
1986,18586746056.9974
1987,20919215578.2125
1988,25371462488.1292
1989,30465364738.6206
1990,36144336768.7023
1991,45466164978.2923
1992,52130263965.6231
1993,60603478153.2368
1994,73690847191.3055
1995,87810991957.1046
1996,96295886524.8227
1997,100124191810.345
1998,85728310229.4455
1999,86284660766.9617
2000,96074477958.2367
2001,89794943349.8912
2002,92537752708.5893
2003,97645448283.7791
2004,115035498757.543
2005,127807618360.971
2006,148630373214.173
2007,180941941477.009
2008,193611986712.842
2009,194152286008.938
2010,239809387605.427
2011,279351168707.267
2012,295087220933.024
2013,307576360584.992
2014,314851156183.411
2015,308004146057.608
2016,318832428519.725
2017,343193352161.634
2018,376998146500.593
2019,375472731271.075
2020,345295933898.674
2021,396986899888.351
